card_id,card_name,card_number,set_id,set_name,card_market_value
base4-1,Alakazam,1,base4,Base Set 2,37.01
base4-2,Blastoise,2,base4,Base Set 2,107.85
base4-3,Chansey,3,base4,Base Set 2,14.71
base4-4,Charizard,4,base4,Base Set 2,304.88
base4-5,Clefable,5,base4,Base Set 2,13.97
base4-6,Clefairy,6,base4,Base Set 2,10.79
base4-7,Gyarados,7,base4,Base Set 2,26.94
base4-8,Hitmonchan,8,base4,Base Set 2,21.21
base4-9,Magneton,9,base4,Base Set 2,12.14
base4-10,Mewtwo,10,base4,Base Set 2,40.96
base4-11,Nidoking,11,base4,Base Set 2,24.14
base4-12,Nidoqueen,12,base4,Base Set 2,23.02
base4-13,Ninetales,13,base4,Base Set 2,21.49
base4-14,Pidgeot,14,base4,Base Set 2,27.41
base4-15,Poliwrath,15,base4,Base Set 2,13.35
base4-16,Raichu,16,base4,Base Set 2,33.18
base4-17,Scyther,17,base4,Base Set 2,24.6
base4-18,Venusaur,18,base4,Base Set 2,73.77
base4-19,Wigglytuff,19,base4,Base Set 2,11.0
base4-20,Zapdos,20,base4,Base Set 2,24.31
base4-21,Beedrill,21,base4,Base Set 2,1.96
base4-22,Dragonair,22,base4,Base Set 2,8.58
base4-23,Dugtrio,23,base4,Base Set 2,3.3
base4-24,Electabuzz,24,base4,Base Set 2,3.17
base4-25,Electrode,25,base4,Base Set 2,3.87
base4-26,Kangaskhan,26,base4,Base Set 2,3.15
base4-27,Mr. Mime,27,base4,Base Set 2,6.03
base4-28,Pidgeotto,28,base4,Base Set 2,3.72
base4-29,Pinsir,29,base4,Base Set 2,3.35
base4-30,Snorlax,30,base4,Base Set 2,9.34
base4-31,Venomoth,31,base4,Base Set 2,3.31
base4-32,Victreebel,32,base4,Base Set 2,2.8
base4-33,Arcanine,33,base4,Base Set 2,2.1
base4-34,Butterfree,34,base4,Base Set 2,1.58
base4-35,Charmeleon,35,base4,Base Set 2,1.73
base4-36,Dewgong,36,base4,Base Set 2,1.23
base4-37,Dodrio,37,base4,Base Set 2,1.8
base4-38,Dratini,38,base4,Base Set 2,0.99
base4-39,Exeggutor,39,base4,Base Set 2,1.18
base4-40,Farfetch'd,40,base4,Base Set 2,0.5
base4-41,Fearow,41,base4,Base Set 2,1.32
base4-42,Growlithe,42,base4,Base Set 2,1.21
base4-43,Haunter,43,base4,Base Set 2,0.84
base4-44,Ivysaur,44,base4,Base Set 2,3.6
base4-45,Jynx,45,base4,Base Set 2,0.6
base4-46,Kadabra,46,base4,Base Set 2,1.24
base4-47,Kakuna,47,base4,Base Set 2,0.71
base4-48,Lickitung,48,base4,Base Set 2,1.3
base4-49,Machoke,49,base4,Base Set 2,0.54
base4-50,Magikarp,50,base4,Base Set 2,0.9
base4-51,Magmar,51,base4,Base Set 2,1.08
base4-52,Marowak,52,base4,Base Set 2,1.87
base4-53,Nidorina,53,base4,Base Set 2,0.62
base4-54,Nidorino,54,base4,Base Set 2,1.55
base4-55,Parasect,55,base4,Base Set 2,0.9
base4-56,Persian,56,base4,Base Set 2,1.7
base4-57,Poliwhirl,57,base4,Base Set 2,0.92
base4-58,Raticate,58,base4,Base Set 2,0.9
base4-59,Rhydon,59,base4,Base Set 2,1.8
base4-60,Seaking,60,base4,Base Set 2,0.59
base4-61,Seel,61,base4,Base Set 2,0.62
base4-62,Tauros,62,base4,Base Set 2,2.96
base4-63,Wartortle,63,base4,Base Set 2,1.74
base4-64,Weepinbell,64,base4,Base Set 2,1.21
base4-65,Abra,65,base4,Base Set 2,0.42
base4-66,Bellsprout,66,base4,Base Set 2,0.44
base4-67,Bulbasaur,67,base4,Base Set 2,2.24
base4-68,Caterpie,68,base4,Base Set 2,0.43
base4-69,Charmander,69,base4,Base Set 2,1.15
base4-70,Cubone,70,base4,Base Set 2,0.81
base4-71,Diglett,71,base4,Base Set 2,0.38
base4-72,Doduo,72,base4,Base Set 2,0.44
base4-73,Drowzee,73,base4,Base Set 2,0.44
base4-74,Exeggcute,74,base4,Base Set 2,0.5
base4-75,Gastly,75,base4,Base Set 2,0.47
base4-76,Goldeen,76,base4,Base Set 2,0.38
base4-77,Jigglypuff,77,base4,Base Set 2,0.74
base4-78,Machop,78,base4,Base Set 2,0.42
base4-79,Magnemite,79,base4,Base Set 2,0.39
base4-80,Meowth,80,base4,Base Set 2,0.55
base4-81,Metapod,81,base4,Base Set 2,0.43
base4-82,Nidoran ♀,82,base4,Base Set 2,0.47
base4-83,Nidoran ♂,83,base4,Base Set 2,0.59
base4-84,Onix,84,base4,Base Set 2,0.83
base4-85,Paras,85,base4,Base Set 2,0.38
base4-86,Pidgey,86,base4,Base Set 2,0.55
base4-87,Pikachu,87,base4,Base Set 2,2.15
base4-88,Poliwag,88,base4,Base Set 2,0.4
base4-89,Rattata,89,base4,Base Set 2,0.45
base4-90,Rhyhorn,90,base4,Base Set 2,0.46
base4-91,Sandshrew,91,base4,Base Set 2,0.35
base4-92,Spearow,92,base4,Base Set 2,0.5
base4-93,Squirtle,93,base4,Base Set 2,1.08
base4-94,Starmie,94,base4,Base Set 2,0.5
base4-95,Staryu,95,base4,Base Set 2,0.29
base4-96,Tangela,96,base4,Base Set 2,0.35
base4-97,Venonat,97,base4,Base Set 2,0.6
base4-98,Voltorb,98,base4,Base Set 2,0.53
base4-99,Vulpix,99,base4,Base Set 2,0.83
base4-100,Weedle,100,base4,Base Set 2,0.32
base4-101,Computer Search,101,base4,Base Set 2,2.71
base4-102,Imposter Professor Oak,102,base4,Base Set 2,2.23
base4-103,Item Finder,103,base4,Base Set 2,7.47
base4-104,Lass,104,base4,Base Set 2,2.69
base4-105,Pokémon Breeder,105,base4,Base Set 2,4.39
base4-106,Pokémon Trader,106,base4,Base Set 2,3.23
base4-107,Scoop Up,107,base4,Base Set 2,4.24
base4-108,Super Energy Removal,108,base4,Base Set 2,2.51
base4-109,Defender,109,base4,Base Set 2,0.33
base4-110,Energy Retrieval,110,base4,Base Set 2,0.32
base4-111,Full Heal,111,base4,Base Set 2,0.37
base4-112,Maintenance,112,base4,Base Set 2,0.77
